Id,Label,Node_strength,Num_samples
CINGULATA,CINGULATA,0.126944815394,8
CARNIVORA,CARNIVORA,0.17512328609,145
RODENTIA,RODENTIA,0.159753027918,458
PROBOSCIDEA,PROBOSCIDEA,0.057584367499,5
DIPROTODONTIA,DIPROTODONTIA,0.0654094505028,12
EULIPOTYPHLA,EULIPOTYPHLA,0.0531490640589,9
CHIROPTERA,CHIROPTERA,0.137723061821,420
LAGOMORPHA,LAGOMORPHA,0.127256600231,21
PILOSA,PILOSA,0.13378310995,17
PERISSODACTYLA,PERISSODACTYLA,0.163276891436,43
DIDELPHIMORPHIA,DIDELPHIMORPHIA,0.148022809998,25
HUMANS,HUMANS,0.16612111293,188
PRIMATES,PRIMATES,0.113121794362,250
CETARTIODACTYLA,CETARTIODACTYLA,0.16398544948,211
