virus.family,virus.genus,virus.species,host.genus,host.species,zoonotic,binomial
Herpesviridae,unassigned,Agua Preta virus,Carollia,subrufa,N,Carollia subrufa
Rhabdoviridae,Lyssavirus,Aravan,Myotis,blythii,N,Myotis blythii
Rhabdoviridae,Lyssavirus,Aravan,Pteropus,lylei,N,Pteropus lylei
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Miniopterus,fuliginosus,Y,Miniopterus fuliginosus
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Philetor,brachypterus,Y,Philetor brachypterus
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,alecto,Y,Pteropus alecto
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,conspicillatus,Y,Pteropus conspicillatus
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,hypomelanus,Y,Pteropus hypomelanus
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,lylei,Y,Pteropus lylei
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,poliocephalus,Y,Pteropus poliocephalus
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Pteropus,scapulatus,Y,Pteropus scapulatus
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Rousettus,amplexicaudatus,Y,Rousettus amplexicaudatus
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Saccolaimus,flaviventris,Y,Saccolaimus flaviventris
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Scotophilus,kuhlii,Y,Scotophilus kuhlii
Rhabdoviridae,Lyssavirus,Australian bat lyssavirus,Taphozous,melanopogon,Y,Taphozous melanopogon
Adenoviridae,Mastadenovirus,bat adenovirus (BtAdV-TJM),Myotis,pilosus,N,Myotis pilosus
Adenoviridae,Mastadenovirus,bat adenovirus (BtAdV-TJM),Nyctalus,noctula,N,Nyctalus noctula
Astroviridae,unassigned,bat astrovirus AFCD337,Miniopterus,magnater,N,Miniopterus magnater
Astroviridae,unassigned,bat astrovirus AFCD337,Miniopterus,pusillus,N,Miniopterus pusillus
Astroviridae,unassigned,bat astrovirus AFCD337,Myotis,chinensis,N,Myotis chinensis
Astroviridae,unassigned,bat astrovirus AFCD337,Myotis,pilosus,N,Myotis pilosus
Astroviridae,unassigned,bat astrovirus AFCD337,Rhinolophus,rouxii,N,Rhinolophus rouxii
Adenoviridae,Mastadenovirus,bat FBV1,Pteropus,dasymallus,N,Pteropus dasymallus
Adenoviridae,unassigned,"bat PPV1, AdV",Pipistrellus,pipistrellus,N,Pipistrellus pipistrellus
Herpesviridae,unassigned,BatBHV-1,Myotis,nattereri,N,Myotis nattereri
Herpesviridae,unassigned,BatBHV-1,Pipistrellus,pipistrellus,N,Pipistrellus pipistrellus
Coronaviridae,Coronavirus,BatCoV BB98-15,Rhinolophus,blasii,N,Rhinolophus blasii
Coronaviridae,Coronavirus,BatCoV BB98-15,Rhinolophus,ferrumequinum,N,Rhinolophus ferrumequinum
