virus.family,virus.genus,virus.species,host.genus,host.species,zoonotic,binomial
Arenaviridae,Arenavirus,Allpahuayo,Oecomys,bicolor,N,Oecomys bicolor
Arenaviridae,Arenavirus,Allpahuayo,Oecomys,paricola,N,Oecomys paricola
Bunyaviridae,Hantavirus,Alto Paraguay hantavirus,Holochilus,chacarius,N,Holochilus chacarius
Arenaviridae,Arenavirus,Amapari,Baiomys,taylori,N,Baiomys taylori
Arenaviridae,Arenavirus,Amapari,Neacomys,guianae,N,Neacomys guianae
Arenaviridae,Arenavirus,Amapari,Peromyscus,mexicanus,N,Peromyscus mexicanus
Bunyaviridae,Hantavirus,Amur virus,Apodemus,peninsulae,Y,Apodemus peninsulae
Bunyaviridae,Hantavirus,Anajatuba,Oligoryzomys,fornesi,N,Oligoryzomys fornesi
Bunyaviridae,Hantavirus,Andes virus,Abrothrix,longipilis,Y,Abrothrix longipilis
Bunyaviridae,Hantavirus,Andes virus,Abrothrix,olivaceus,Y,Abrothrix olivaceus
Bunyaviridae,Hantavirus,Andes virus,Akodon,montensis,Y,Akodon montensis
Bunyaviridae,Hantavirus,Andes virus,Akodon,paranaensis,Y,Akodon paranaensis
Bunyaviridae,Hantavirus,Andes virus,Akodon,varius,Y,Akodon varius
Bunyaviridae,Hantavirus,Andes virus,Bibimys,chacoensis,Y,Bibimys chacoensis
Bunyaviridae,Hantavirus,Andes virus,Calomys,tener,Y,Calomys tener
Bunyaviridae,Hantavirus,Andes virus,Graomys,griseoflavus,Y,Graomys griseoflavus
Bunyaviridae,Hantavirus,Andes virus,Loxodontomys,micropus,Y,Loxodontomys micropus
Bunyaviridae,Hantavirus,Andes virus,Nectomys,squamipes,Y,Nectomys squamipes
Bunyaviridae,Hantavirus,Andes virus,Oligoryzomys,longicaudatus,Y,Oligoryzomys longicaudatus
Bunyaviridae,Hantavirus,Andes virus,Rattus,norvegicus,Y,Rattus norvegicus
Bunyaviridae,Hantavirus,Andes virus,Rattus,rattus,Y,Rattus rattus
Bunyaviridae,Hantavirus,Andes virus,Sooretamys,angouya,Y,Sooretamys angouya
Bunyaviridae,Hantavirus,Andes virus,Thaptomys,nigrita,Y,Thaptomys nigrita
Herpesviridae,unassigned,Apodemus flavicolus CMV3,Apodemus,flavicollis,N,Apodemus flavicollis
Flaviviridae,Flavivirus,Apoi virus,Apodemus,argenteus,Y,Apodemus argenteus
Flaviviridae,Flavivirus,Apoi virus,Apodemus,speciosus,Y,Apodemus speciosus
Bunyaviridae,Hantavirus,Araraquara,Necromys,lasiurus,Y,Necromys lasiurus
Hepadnaviridae,Orthohepadnavirus,arctic squirrel hepatitis virus,Spermophilus,parryii,N,Spermophilus parryii
Flaviviridae,Flavivirus,Aroa virus,Proechimys,guyannensis,Y,Proechimys guyannensis
Bunyaviridae,Phlebovirus,Arumowot virus,Arvicanthis,niloticus,N,Arvicanthis niloticus
Bunyaviridae,Phlebovirus,Arumowot virus,Gerbilliscus,kempi,N,Gerbilliscus kempi
Bunyaviridae,Orthobunyavirus,Arumowot virus,Otomys,tropicalis,N,Otomys tropicalis
Bunyaviridae,Orthobunyavirus,Arumowot virus,Pelomys,isseli,N,Pelomys isseli
Bunyaviridae,Phlebovirus,Arumowot virus,Thamnomys,macmillani,N,Thamnomys macmillani
Flaviviridae,Flavivirus,Banzi virus,Mastomys,natalensis,Y,Mastomys natalensis
Rhabdoviridae,unassigned,Barur virus,Rattus,rattus,N,Rattus rattus
Bunyaviridae,Hantavirus,Bayou virus,Baiomys,taylori,Y,Baiomys taylori
Bunyaviridae,Hantavirus,Bayou virus,Oryzomys,palustris,Y,Oryzomys palustris
Bunyaviridae,Hantavirus,Bayou virus,Peromyscus,leucopus,Y,Peromyscus leucopus
Bunyaviridae,Hantavirus,Bayou virus,Reithrodontomys,fulvescens,Y,Reithrodontomys fulvescens
Bunyaviridae,Hantavirus,Bayou virus,Sigmodon,hispidus,Y,Sigmodon hispidus
Arenaviridae,Arenavirus,Bear Canyon,Neotoma,macrotis,N,Neotoma macrotis
Arenaviridae,Arenavirus,Bear Canyon,Peromyscus,californicus,N,Peromyscus californicus
Bunyaviridae,Hantavirus,Bermejo,Oligoryzomys,chacoensis,Y,Oligoryzomys chacoensis
Bunyaviridae,unassigned,Bhanja virus,Xerus,erythropus,Y,Xerus erythropus
Bunyaviridae,Hantavirus,Black Creek Canal virus,Sigmodon,hispidus,Y,Sigmodon hispidus
Bunyaviridae,Hantavirus,Bloodland Lake virus,Microtus,ochrogaster,N,Microtus ochrogaster
Reoviridae,Orbivirus,Bluetongue virus,Mastomys,natalensis,N,Mastomys natalensis
Reoviridae,Orbivirus,Bluetongue virus,Otomys,irroratus,N,Otomys irroratus
Bunyaviridae,Orthobunyavirus,Bunyamwera virus,Arvicanthis,niloticus,Y,Arvicanthis niloticus
Bunyaviridae,Orthobunyavirus,Bunyamwera virus,Dasymys,incomtus,Y,Dasymys incomtus
Bunyaviridae,Orthobunyavirus,Bunyamwera virus,Gerbilliscus,validus,Y,Gerbilliscus validus
