Order,host.genus,host.species,binomial,num.zoonotic,num.viruses,Body.Mass.g,log.mass,Litter.Size,Litters.Per.Year,Max.Longevity.days,torpor.category,migration,IUCN,citations,log.citations,Latitude.abs,num.sympatric,cave,gregariousness,food,degree,betweenness
Chiroptera,Anoura,geoffroyi,Anoura geoffroyi,3,4,15.1,2.714694744,1,1,3650,1,1,LC,25,3.218875825,5,293,1,3,nectar,28,71.37982357
Chiroptera,Artibeus,cinereus,Artibeus cinereus,2,2,12.8,2.549445171,1,,,1,,LC,5,1.609437912,1,160,,,,19,10.62324281
Chiroptera,Artibeus,jamaicensis,Artibeus jamaicensis,6,8,41.8,3.73289634,1,2,7012.8,1,1,LC,163,5.093750201,17,262,0,2,fruit,36,194.121286
Chiroptera,Artibeus,lituratus,Artibeus lituratus,7,8,65.6,4.183575696,1.025,1.878787867,3978.5,1,1,LC,77,4.343805422,9,300,0,2,fruit,34,166.5342726
Chiroptera,Artibeus,phaeotis,Artibeus phaeotis,2,2,11.428,2.436066484,1,2,,1,,LC,1,0,8,256,,,,23,12.06804419
Chiroptera,Barbastella,barbastellus,Barbastella barbastellus,1,1,8.028888889,2.083046148,1.833333333,1,8400.7,3,1,NT,48,3.871201011,45,51,0,2,insects,12,0
Chiroptera,Carollia,brevicauda,Carollia brevicauda,2,2,13.8,2.624668592,1,,,1,,LC,23,3.135494216,5,242,,,,25,75.4040339
Chiroptera,Carollia,perspicillata,Carollia perspicillata,7,8,16.4,2.797281335,1.045384615,2.033018863,6209.2,1,1,LC,225,5.416100402,7,287,0,2,fruit,35,164.9616242
Chiroptera,Carollia,subrufa,Carollia subrufa,1,2,15.556,2.744446416,1,2,,1,,LC,3,1.098612289,15,121,,,,13,0
Chiroptera,Cynopterus,brachyotis,Cynopterus brachyotis,2,5,34.08182143,3.528764146,1,2.333333333,3688.5,1,1,LC,41,3.713572067,9,213,0,1,fruit,20,188.2512886
Chiroptera,Cynopterus,sphinx,Cynopterus sphinx,3,3,62.93753158,4.142142672,1.15625,1.846153846,3650,2,1,LC,103,4.634728988,3,266,0,1,fruit,24,50.33303768
Chiroptera,Desmodus,rotundus,Desmodus rotundus,2,4,33.04055,3.497735595,1.055555556,1.2631579,10665.3,2,1,LC,246,5.505331536,3,302,1,4,blood,30,136.8711576
Chiroptera,Dobsonia,anderseni,Dobsonia anderseni,1,1,,,,,,1,,,0,0,3.705882353,49,,,,12,0
Chiroptera,Dobsonia,moluccensis,Dobsonia moluccensis,1,1,381.4369231,5.943945498,1,1,4489.5,1,,LC,0,0,6,141,1,4,fruit,12,0
Chiroptera,Eidolon,dupreanum,Eidolon dupreanum,2,2,286.5625,5.657956662,1,1,7300,1,,V,6,1.791759469,17,38,0,3,fruit,19,43.12286521
Chiroptera,Eidolon,helvum,Eidolon helvum,3,5,252.8396935,5.532755665,1.02,1.166666667,7961.055515,1,3,NT,60,4.094344562,4,200,0,6,fruit,22,426.8650188
Chiroptera,Eonycteris,spelaea,Eonycteris spelaea,3,4,59.88706667,4.092460566,1,2.333333333,1825,1,1,LC,21,3.044522438,7,296,1,4,nectar,25,124.3804194
Chiroptera,Epomophorus,gambianus,Epomophorus gambianus,1,1,148.2305833,4.998769057,1,1.666666667,2848.95,1,,LC,7,1.945910149,9,132,0,2,fruit,6,0
Chiroptera,Epomophorus,wahlbergi,Epomophorus wahlbergi,1,1,89.53846154,4.494668271,1,2,3689,1,1,LC,20,2.995732274,5,160,0,2,fruit,6,0
Chiroptera,Epomops,dobsonii,Epomops dobsonii,1,1,120,4.787491743,,,,1,,,3,1.098612289,6.333333333,96,,,,6,0
Chiroptera,Epomops,franqueti,Epomops franqueti,2,2,119.6143611,4.78427291,1,2,,1,,LC,11,2.397895273,0,153,,,,10,92.73076698
Chiroptera,Eptesicus,fuscus,Eptesicus fuscus,4,6,17.22130435,2.846147242,1.5,1,7305,3,1,LC,1032,6.939253946,20,280,0,2,insects,31,573.4234846
Chiroptera,Eptesicus,serotinus,Eptesicus serotinus,3,3,22.85866667,3.129330331,1.375,1,6939.7,2,1,LC,104,4.644390899,46,187,0,3,insects,21,68.3388464
Chiroptera,Glauconycteris,argentata,Glauconycteris argentata,1,1,9.063333333,2.20423697,,,,1,,,0,0,3,156,,,,5,0
Chiroptera,Glossophaga,commissarisi,Glossophaga commissarisi,1,1,8.9,2.186051277,1,2,,,,,15,2.708050201,,251,,,,13,0
Chiroptera,Glossophaga,soricina,Glossophaga soricina,4,4,9.4,2.240709689,1.000181818,2,4017.7,2,1,LC,128,4.852030264,9,310,1,3,nectar,28,22.02918124
Chiroptera,Hipposideros,abae,Hipposideros abae,1,1,,,1.5,1,,1,,,0,0,8,121,,,,5,0
Chiroptera,Hipposideros,armiger,Hipposideros armiger,2,3,43.86,3.781002743,,,,1,,,16,2.772588722,16.33333333,206,,,,28,87.79013202
Chiroptera,Hipposideros,bicolor,Hipposideros bicolor,1,1,7.14,1.965712776,1,,,1,,LC,10,2.302585093,0.95,192,,,,19,0
Chiroptera,Hipposideros,caffer,Hipposideros caffer,2,2,9.647894737,2.26673973,1,1,,1,,LC,17,2.833213344,2.307692308,200,,,,8,322.7606085
Chiroptera,Hipposideros,cineraceus,Hipposideros cineraceus,1,1,4.032,1.394262531,1,,,1,,LC,4,1.386294361,3.888888889,229,,,,19,0
Chiroptera,Hipposideros,commersoni,Hipposideros commersoni,0,1,93.67866667,4.539870486,1,1,,,,,14,2.63905733,,38,,,,0,0
Chiroptera,Hipposideros,diadema,Hipposideros diadema,1,1,43.76285714,3.778785447,1,,,1,,LC,8,2.079441542,1.288888889,358,,,,12,0
Chiroptera,Hipposideros,lankadiva,Hipposideros lankadiva,1,1,52.4,3.958906591,1,1,,1,,LC,5,1.609437912,20,84,,,,6,0
Chiroptera,Hipposideros,pomona,Hipposideros pomona,1,1,6.2,1.824549292,,,,1,,,2,0.693147181,17.57142857,193,,,,19,0
Chiroptera,Hipposideros,speoris,Hipposideros speoris,2,2,10.386,2.340458745,1,,,1,,LC,27,3.295836866,18.66666667,70,,,,21,6.264569112
