Order,host.genus,host.species,binomial,num.zoonotic,num.viruses,Body.Mass.g,log.mass,Litter.Size,Litters.Per.Year,Max.Longevity.days,torpor.category,migration,IUCN,citations,log.citations,Latitude.abs,num.sympatric,distr.area,PC1,PC2,PC3
Rodentia,Abrothrix,longipilis,Abrothrix longipilis,1,1,40.90714286,3.71130469,4.065,,,,,,43,3.761200116,,55,,,,
Rodentia,Abrothrix,olivaceus,Abrothrix olivaceus,1,1,23.645,3.163151676,5.322857143,2,360,1,,LC,53,3.970291914,42,60,1086785.644,-1.227413556,0.739610404,0.946162436
Rodentia,Aethomys,kaiseri,Aethomys kaiseri,0,1,90,4.49980967,,,,1,,,4,1.386294361,8,152,,,,
Rodentia,Aethomys,namaquensis,Aethomys namaquensis,1,1,55.025,4.007787627,3.9,2,1716.675,1,,LC,53,3.970291914,24,99,3375275.498,-0.22704788,-0.115282011,0.864909199
Rodentia,Akodon,azarae,Akodon azarae,2,2,24.5,3.198673118,4.68,2,549,1,,LC,106,4.663439094,36,93,1231750.846,-1.038105358,0.356125973,1.063203898
Rodentia,Akodon,cursor,Akodon cursor,1,1,39.85,3.685122405,,,,,,,41,3.713572067,,107,,,,
Rodentia,Akodon,montensis,Akodon montensis,3,3,,,,,,1,,,31,3.433987204,25.09677419,118,,,,
Rodentia,Akodon,obscurus,Akodon obscurus,1,1,,,,,,,,,0,0,,,,,,
Rodentia,Akodon,paranaensis,Akodon paranaensis,1,1,,,,,,,,,5,1.609437912,,75,,,,
Rodentia,Akodon,simulator,Akodon simulator,1,1,42.5,3.749504076,,,,,,,6,1.791759469,,88,,,,
Rodentia,Akodon,varius,Akodon varius,1,1,40,3.688879454,,,,,,,3,1.098612289,,100,,,,
Rodentia,Apodemus,agrarius,Apodemus agrarius,6,7,24.575,3.201729666,5.705714286,3.125,1460,1,,LC,223,5.407171771,41,233,14443824.05,-1.19686185,0.599343717,0.248263525
Rodentia,Apodemus,argenteus,Apodemus argenteus,1,1,21,3.044522438,4.076666667,4,1826.25,1,,LC,51,3.931825633,35,22,367844.666,-1.074770786,-0.616583162,0.26379093
Rodentia,Apodemus,flavicollis,Apodemus flavicollis,6,10,32.26,3.473828073,5.367272727,4.875,1643.625,1,,LC,407,6.008813185,57,122,6298880.011,-1.459442933,-0.061747406,-0.517318612
Rodentia,Apodemus,mystacinus,Apodemus mystacinus,1,1,43.95,3.783052624,3.556666667,2,,,,,28,3.33220451,,63,,,,
Rodentia,Apodemus,peninsulae,Apodemus peninsulae,2,2,,,4.5,,1607.1,1,,LC,72,4.276666119,55,172,,,,
Rodentia,Apodemus,speciosus,Apodemus speciosus,1,1,46,3.828641396,4.533333333,,1935.825,1,,LC,121,4.795790546,35,22,,,,
Rodentia,Apodemus,sylvaticus,Apodemus sylvaticus,6,13,26.91428571,3.292657213,5.0571875,4,2301.075,1,,LC,952,6.858565035,56,91,5399377.337,-0.995148748,-0.056790078,-0.092516998
Rodentia,Apodemus,uralensis,Apodemus uralensis,2,2,,,,,,,,,21,3.044522438,,160,,,,
Rodentia,Arvicanthis,niloticus,Arvicanthis niloticus,4,9,120.9,4.794963758,5.14625,3.5,2447.175,1,,LC,196,5.278114659,9,242,6772138.447,-0.334017364,0.215443792,-0.381642752
Rodentia,Arvicola,amphibius,Arvicola amphibius,1,1,129.5571429,4.864122042,5.021904762,4.842857143,1338.333333,1,,LC,371,5.916202063,56,181,18522731.73,-1.046375187,-0.149455748,-0.819005382
Rodentia,Arvicola,scherman,Arvicola scherman,2,2,,,,,,,,,5,1.609437912,,44,,,,
Rodentia,Baiomys,taylori,Baiomys taylori,1,2,7.475,2.011564119,2.623333333,10,1126.666667,2,,LC,44,3.784189634,27,166,1280181.861,-3.034849656,-3.100666712,-1.539310728
Rodentia,Bandicota,indica,Bandicota indica,1,3,684.3066667,6.52840616,6.9075,,,1,,LC,51,3.931825633,14.28571429,194,,,,
Rodentia,Bibimys,chacoensis,Bibimys chacoensis,1,1,28,3.33220451,,,,,,,0,0,,51,,,,
Rodentia,Calomys,callosus,Calomys callosus,2,3,44.57,3.797060987,5.058571429,3,,1,,LC,101,4.615120517,17,190,,,,
Rodentia,Calomys,laucha,Calomys laucha,2,2,14,2.63905733,5.191666667,,,1,,LC,65,4.17438727,28,145,,,,
Rodentia,Calomys,musculinus,Calomys musculinus,2,2,22.1,3.095577609,6.8,,,2,,LC,111,4.709530201,40.78571429,189,,,,
Rodentia,Calomys,tener,Calomys tener,1,2,13.8,2.624668592,,,,1,,,11,2.397895273,19,129,,,,
