Plant species,Fi lu,Fi th,Pr af,Br mi,Fi su,Ma bu,An to,Bl un,Mo me,Tr ma,Fi ex,Po fu,Cy cy,Ca ba,Ha ma,La ca,So ma,Ja fl,Ca ed,Ci ol,Ma la,Pi vi,Rh pr,Cl ca,To as,Cu fa,Pe vo,Pi gu,Al ab,Co eu,Ps pe,Dr fr,Ru ni,
Common Bulbul,128,110,70,54,30,27,62,4,5,0,9,42,9,2,2,7,0,2,8,3,0,6,6,0,0,0,0,0,0,0,0,0,0,
Blue Monkey,19,35,2,20,28,36,16,1,27,67,34,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Blackcap,64,23,3,37,8,9,8,7,2,0,21,16,9,1,11,13,6,11,2,2,9,5,5,6,7,0,0,2,0,0,0,0,0,
Red-tailed Monkey,11,19,0,24,52,29,9,8,46,22,13,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,
Violet-backed Starling,1,0,190,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Willow Warbler,30,39,82,0,3,4,12,0,0,0,2,4,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
African Thrush,94,11,15,25,1,0,0,0,0,0,0,0,2,0,4,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,
Yellow-whisk. Greenbul,21,33,0,21,9,6,1,15,7,0,0,3,1,0,6,0,0,2,3,3,0,2,0,2,2,2,0,5,1,1,0,1,0,
African Yellow White-eye,69,1,0,22,6,3,2,5,0,0,3,6,10,0,3,4,5,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,
Bl.-a.-wh. Casq. Hornbill,24,61,0,18,2,12,2,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yellow-spottet Barbet,26,59,0,13,10,0,0,13,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,
East. bl.-a.-wh. Colobus,0,5,1,15,50,12,11,15,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yellow-rump. Tinkerbird,9,3,1,18,6,0,0,5,0,0,3,2,7,24,8,3,0,6,6,2,0,3,3,1,1,1,0,0,1,0,0,0,0,
Joyful Greenbul,15,12,1,22,2,4,0,6,2,0,0,3,9,2,6,2,1,2,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,
Grey-throated Barbet,4,19,0,9,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Shelley's Greenbul,28,1,0,2,1,2,3,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,
Forest Weaver,3,1,0,2,5,1,4,11,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
Toro Olive Greenbul,10,4,0,8,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,
Plain Greenbul,6,5,3,1,7,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,
Red-legg. Sun Squirrel,0,3,0,3,2,6,1,4,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dusky Tit,3,9,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Uganda Wood-Warbler,3,1,4,0,2,1,5,0,6,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cabani's Greenbul,0,0,0,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,
Yellow-billed Barbet,6,5,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Slender-billed Greenbul,3,6,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
African Citril,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Buff-throated Apalis,3,2,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Honeyguide Greenbul,1,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
East. Olivaceous Warbler,1,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
Little Greenbul,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Yellow-fronted Canary,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ross's Turaco,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Speckled Mousebird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,
Olive Baboon,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grey-head. Negrofinch,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Tambourine Dove,1,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Hairy-breasted Barbet,2,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
