OTU,OTU.code,kingdom,phylum,class,order,family,genus,species,Guild,Taxon_Level,Trophic_Mode,Growth_Morphology,Trait,Confidence_Ranking,Category.In.This.Study,Nreads.TES,Nreads.TOMA,Nreads.YKS,Nreads.SGD,Nreads.YSD,Nreads.YAKU,Nreads.YONA,Nreads.IRI,Nreads.North,Nreads.South,Nreads.All,betweenness.ALL,degree.ALL,closeness.ALL,eigenvector.centrality.ALL,degree.North,closeness.North,eigenvector.centrality.North,betweenness.North,degree.South,closeness.South,eigenvector.centrality.South,betweenness.South,betweenness.local.mean.ALL,betweenness.local.mean.North,betweenness.local.mean.South,degree.TES,betweenness.TES,eigenvector.centrality.TES,closeness.TES,degree.TOMA,betweenness.TOMA,eigenvector.centrality.TOMA,closeness.TOMA,degree.YKS,betweenness.YKS,eigenvector.centrality.YKS,closeness.YKS,degree.SGD,betweenness.SGD,eigenvector.centrality.SGD,closeness.SGD,degree.YSD,betweenness.YSD,eigenvector.centrality.YSD,closeness.YSD,degree.YAKU,betweenness.YAKU,eigenvector.centrality.YAKU,closeness.YAKU,degree.YONA,betweenness.YONA,eigenvector.centrality.YONA,closeness.YONA,degree.IRI,betweenness.IRI,eigenvector.centrality.IRI,closeness.IRI,dprime.TES,dprime.TOMA,dprime.YKS,dprime.SGD,dprime.YSD,dprime.YAKU,dprime.YONA,dprime.IRI,betweenness.weighted.ALL,betweenness.weighted.North,betweenness.weighted.South,betweenness.weighted.TES,betweenness.weighted.TOMA,betweenness.weighted.YKS,betweenness.weighted.SGD,betweenness.weighted.YSD,betweenness.weighted.YAKU,betweenness.weighted.YONA,betweenness.weighted.IRI,Category.col,betweenness.weighted.local.mean.ALL,betweenness.weighted.local.mean.North,betweenness.weighted.local.mean.South
F_0001,1111:19615:9323__T604__S_0532,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,0,Ectomycorrhizal,13,Symbiotroph,Agaricoid,NULL,Highly_Probable,Ectomycorrhizal,5108,29010,2703,13486,9509,0,0,0,50307,9509,59816,0.09712778,0.299455535,0.548523207,0.26038566,0.430267062,0.800738007,0.222222222,0.401446216,0.06462585,0.237885463,0.066666667,0.002362836,0.225466814,0.26439671,0.069747229,0.5,0.374162763,0.720073499,0.80434887,0.625,0.49912084,0.859573081,0.899308062,0.25,0.151145848,0.595145043,0.660620773,0.086956522,0.033157389,0.354645602,0.444901774,0.266666667,0.069747229,0.414334858,0.431317221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17699541,0.0821933,0.394868709,0.195202274,0.226114317,NA,NA,NA,0.17706771,0.50024672,0.002487392,0.27137924,0.070676017,0.237624435,0,0.042314655,NA,NA,NA,red,0.124398869,0.144919923,0.042314655
F_0002,1101:28381:13783__T593__S_0439,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,0,Ectomycorrhizal,13,Symbiotroph,Agaricoid,NULL,Highly_Probable,Ectomycorrhizal,0,11007,1076,15389,0,0,0,0,27472,0,27472,0.028852399,0.105263158,0.430379747,0.075294925,0.172106825,0.638376384,0.055555556,0.231665995,NA,NA,NA,NA,0.242360483,0.242360483,NA,NA,NA,NA,NA,0.375,0.251166807,0.609821619,0.74478304,0.375,0.229398751,0.891436716,0.87610526,0.347826087,0.246515891,0.700013029,0.78652517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08790108,0.084984152,0.094483964,NA,NA,NA,NA,0.057813696,0.320027796,NA,NA,0.075226115,0.829731169,0.029816657,NA,NA,NA,NA,red,0.311591314,0.311591314,NA
F_0003,1111:5974:14675__T604__S_1305,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,0,Ectomycorrhizal,13,Symbiotroph,Agaricoid,NULL,Highly_Probable,Ectomycorrhizal,0,0,0,0,20469,2988,1849,0,0,25306,25306,0.07510061,0.179673321,0.489451477,0.125455558,NA,NA,NA,NA,0.336734694,0.594713656,0.266666667,0.20535931,0.245870448,NA,0.245870448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.467488592,0.952997613,0.905647152,0.315789474,0.213420537,0.476072972,0.63104285,0.166666667,0.056702214,0.315924093,0.396089138,NA,NA,NA,NA,NA,NA,NA,NA,0.027419777,0.106644144,0.124621231,NA,0.098154794,NA,0.182305126,NA,NA,NA,NA,0.070867474,0.632520309,0.022696861,NA,red,0.242028215,NA,0.242028215
F_0004,1104:22330:11524__T604__S_0658,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,0,Ectomycorrhizal,13,Symbiotroph,Agaricoid,NULL,Highly_Probable,Ectomycorrhizal,0,19884,4381,256,0,0,0,0,24521,0,24521,0.010317902,0.123411978,0.371308017,0.205255626,0.201780415,0.468634686,0.222222222,0.0810039,NA,NA,NA,NA,0.192630671,0.192630671,NA,NA,NA,NA,NA,0.5625,0.436186366,0.761652269,0.839536423,0.25,0.141705648,0.505856257,0.603229667,0,0,0.022263428,0.102403691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083860387,0.081513389,0.334138291,NA,NA,NA,NA,0.005969759,0.030030149,NA,NA,0.03780568,0.016152192,0,NA,NA,NA,NA,red,0.017985957,0.017985957,NA
F_0005,1101:15798:12747__T593__S_0619,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,0,Ectomycorrhizal,13,Symbiotroph,Agaricoid,NULL,Highly_Probable,Ectomycorrhizal,3559,0,127,15111,0,0,0,0,18797,0,18797,0.015139377,0.09800363,0.405063291,0.062646666,0.160237389,0.553505535,0.055555556,0.125773934,NA,NA,NA,NA,0.098228997,0.098228997,NA,0.222222222,0.111988253,0.396803259,0.495683212,NA,NA,NA,NA,0,0,0.464896205,0.570692828,0.304347826,0.182698737,0.593343496,0.620910126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160486666,NA,0,0.116059736,NA,NA,NA,NA,0.019757352,0.113497556,NA,0,NA,0,0.100639159,NA,NA,NA,NA,red,0.033546386,0.033546386,NA
F_0006,2101:5350:9101__T593__S_1085,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,0,Undefined_Saprotroph,13,Saprotroph,NULL,NULL,Probable,Saprotroph,0,0,0,0,11,0,10655,7387,0,18053,18053,0.057993993,0.156079855,0.443037975,0.038357714,NA,NA,NA,NA,0.292517007,0.497797357,0.266666667,0.140594471,0.287888959,NA,0.287888959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.099420705,0.137609229,NA,NA,NA,NA,0.583333333,0.466196506,0.754620143,0.800196582,0.575757576,0.397470371,0.611955519,0.736884937,NA,NA,NA,NA,0.092052254,NA,0.055960114,0.12558137,0.076628968,NA,0.132019195,NA,NA,NA,NA,0,NA,0.017843278,0.301205194,goldenrod1,0.106349491,NA,0.106349491
F_0007,1109:23428:18390__T604__S_1124,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Melanconidaceae,Melanconiella,0,Undefined_Saprotroph,13,Saprotroph,NULL,NULL,Probable,Saprotroph,0,450,754,3,161,6984,165,9128,1207,16438,17645,0.332581756,0.263157895,0.654008439,0.062085072,0.029673591,0.435424354,0,0.047616677,0.455782313,0.629955947,0.133333333,0.314430581,0.300386227,0.208212041,0.369516866,NA,NA,NA,NA,0.0625,0.00507038,0.180315736,0.182144493,0.625,0.619565743,0.910040102,0.897459691,0,0,0.157227792,0.254550748,0.066666667,0.002700571,0.138624935,0.167186828,0.947368421,0.829430347,0.889396118,0.892645883,0.041666667,0.004179095,0.083601022,0.143094593,0.848484848,0.641757451,0.914905847,0.920625236,NA,0.189974434,0.144770236,0,0.221700198,0.065255973,0.246349588,0.068337878,0.508538048,0.096648952,0.265265405,NA,0.013667544,0.250144138,0,0.012166592,0.783279098,0.010695063,0.119824196,goldenrod1,0.16996809,0.087937227,0.231491237
F_0008,1108:27717:15872__T593__S_1299,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Rhizodermea,Rhizodermea_veluwensis,Undefined_Saprotroph,13,Saprotroph,NULL,NULL,Probable,Saprotroph,0,0,13765,1031,1904,23,0,0,14796,1927,16723,0.063607274,0.33030853,0.485232068,0.971262537,0.382789318,0.450184502,1,0.059538624,0.176870748,0.334801762,0.133333333,0.031251513,0.251553801,0.322885274,0.180222329,NA,NA,NA,NA,NA,NA,NA,NA,0.875,0.606365113,0.944380662,0.908323132,0.130434783,0.039405435,0.424373789,0.49057402,0.6,0.351702908,0.889492349,0.868190384,0.052631579,0.008741749,0.036817525,0.084717962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055670121,0.117844556,0.034263718,0.301609942,NA,NA,0.016984807,0.00684927,0.007252779,NA,NA,0.041781301,0,0.007665818,0.028670784,NA,NA,goldenrod1,0.019529476,0.020890651,0.018168301
F_0009,1112:8093:15186__T593__S_1074,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Melanconidaceae,Melanconiella,0,Undefined_Saprotroph,13,Saprotroph,NULL,NULL,Probable,Saprotroph,0,0,0,0,0,0,10380,4399,0,14779,14779,0.086198828,0.245009074,0.447257384,0.059453484,NA,NA,NA,NA,0.459183673,0.50660793,0.4,0.196831905,0.938255205,NA,0.938255205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791666667,0.87651041,0.923636068,0.97730846,0.939393939,1,0.954604467,1,NA,NA,NA,NA,NA,NA,0.026506445,0.076340738,0.095767763,NA,0.14539488,NA,NA,NA,NA,NA,NA,0.156839455,0.913863136,goldenrod1,0.535351296,NA,0.535351296
F_0010,1103:11000:21634__T593__S_1300,Fungi,Ascomycota,Leotiomycetes,0,Myxotrichaceae,Oidiodendron,0,Ericoid_Mycorrhizal,13,Pathotroph-Symbiotroph,Dark_Septate_Endophyte,NULL,Probable,Ericoid_Mycorrhizal,1178,998,4210,1600,4358,4,136,627,7986,5125,13111,0.410630537,0.509981851,0.772151899,0.675776646,0.543026706,0.896678967,0.611111111,0.544629897,0.329931973,0.515418502,0.2,0.142903546,0.267319116,0.359602567,0.175035665,0.555555556,0.454763874,0.773165638,0.847316639,0.5,0.364289818,0.804860181,0.865963467,0.75,0.481508545,0.921621367,0.905898131,0.304347826,0.137848031,0.567602556,0.64048515,0.866666667,0.61651522,0.968521525,0.941132567,0,0,0.054111536,0.116638244,0.166666667,0.073621485,0.407177865,0.516996432,0.060606061,0.010005956,0.04243778,0.125654917,0.0480321,0.040625169,0.024851367,0.154625615,0.014653415,0.144826617,0.030253895,0.381502185,0.220119417,0.077814319,0.10028531,0.000695987,0,0.086515507,0.137394718,0.0469719,0,0.140169099,0.003440448,deepskyblue,0.051898457,0.056151553,0.047645362
